epoch,step,train_loss,val_loss
0,49,0.47494766116142273,
0,88,,0.35429632663726807
1,99,0.32141101360321045,
1,149,0.27468356490135193,
1,177,,0.23856639862060547
2,199,0.22513745725154877,
2,249,0.21650755405426025,
2,266,,0.23940683901309967
3,299,0.19568292796611786,
3,349,0.17312867939472198,
3,355,,0.25293096899986267
4,399,0.16689760982990265,
4,444,,0.24872221052646637
5,449,0.15874026715755463,
5,499,0.15252839028835297,
5,533,,0.24233156442642212
6,549,0.14180131256580353,
6,599,0.13663019239902496,
6,622,,0.24816671013832092
7,649,0.12393812090158463,
7,699,0.12410634756088257,
7,711,,0.26960691809654236
8,749,0.1141999140381813,
8,799,0.1132822036743164,
8,800,,0.2701742947101593
9,849,0.10016945749521255,
9,889,,0.26922160387039185
10,899,0.10137736052274704,
10,949,0.09123965352773666,
10,978,,0.2724156677722931
11,999,0.09024441987276077,
11,1049,0.08721715211868286,
11,1067,,0.2710549533367157
12,1099,0.07955527305603027,
12,1149,0.08058293908834457,
12,1156,,0.27262306213378906
13,1199,0.07666772603988647,
13,1245,,0.2717651426792145
14,1249,0.06949996203184128,
14,1299,0.07068562507629395,
14,1334,,0.2714959979057312
15,1349,0.06641259789466858,
15,1399,0.06268731504678726,
15,1423,,0.27225491404533386
16,1449,0.06104952469468117,
16,1499,0.05781395733356476,
16,1512,,0.2764885425567627
