lag,revenue_autocorr,cogs_autocorr
1,0.8654941265959829,0.8565233803779804
2,0.7351130688141516,0.7176422980035723
3,0.6215558171951514,0.596166233852677
4,0.5207260564926229,0.4868318250124999
5,0.44045372789184056,0.3986089084914441
6,0.4675711043808441,0.4242159008165242
7,0.4920422652677403,0.449440228229813
14,0.49642921316880095,0.46976323063216274
21,0.43686603685023934,0.40457418998076394
28,0.603399453896704,0.5973307392438029
35,0.43878263330956274,0.4179724881415284
42,0.3667599153494032,0.34320047726830083
56,0.30978420154977626,0.2961716085878237
84,0.11532732860271586,0.1204959589067481
91,0.351522252545935,0.4044063806978153
182,0.00823523135571772,0.029414361417997994
364,0.7483111941124541,0.7774107808429249
365,0.7897842962770494,0.8277161046072804
728,0.5963039665643198,0.567166031160495
730,0.7179050346809558,0.7013363869407852
